airFlightNum,eventTime,eventPriority,eventType
UA10091,2251,1,2
UA10091,2311,1,3
UA21057,2616,1,2
UA21057,2676,1,3
UA10839,2758,1,2
UA10839,2818,1,3
UA20146,3354,1,2
UA20146,3414,1,3
UA10268,3509,1,2
UA10268,3569,1,3
UA21276,3978,1,2
UA21276,4038,1,3
UA21130,4894,1,2
UA21130,4954,1,3
UA20431,5005,1,2
UA20431,5065,1,3
UA11160,6065,1,2
UA21126,6120,1,2
UA11160,6125,1,3
UA21126,6180,1,3
UA20573,7377,1,2
UA20573,7437,1,3
UA10896,7477,1,2
UA10896,7537,1,3
UA20382,10156,1,2
UA20382,10216,1,3
UA11288,10406,1,2
UA11288,10466,1,3
UA20960,25500,1,0
UA20988,25500,1,0
UA21049,25500,1,1
UA21176,25500,1,1
UA21249,25500,1,1
UA20137,25560,1,0
UA20200,25560,1,0
UA20835,25560,1,0
UA21177,25560,1,0
UA20960,25560,1,1
UA20988,25560,1,1
UA21215,25620,1,0
UA21257,25620,1,0
UA20137,25620,1,1
UA20200,25620,1,1
UA20835,25620,1,1
UA21177,25620,1,1
UA20411,25680,1,0
UA20736,25680,1,0
UA21019,25680,1,0
UA21242,25680,1,0
UA21215,25680,1,1
UA21257,25680,1,1
UA20340,25740,1,0
UA20733,25740,1,0
UA20875,25740,1,0
UA20411,25740,1,1
UA20736,25740,1,1
UA21019,25740,1,1
UA21242,25740,1,1
UA10705,1494,1,2
UA10705,1554,1,3
UA10311,3112,1,2
UA10311,3172,1,3
UA21242,3978,1,2
UA21242,4038,1,3
UA20960,4043,1,2
UA10331,4043,1,2
UA20960,4103,1,3
UA10331,4103,1,3
UA21176,6769,1,2
UA21176,6829,1,3
UA20137,7986,1,2
UA20137,8046,1,3
UA20411,8615,1,2
UA20411,8675,1,3
UA10406,9883,1,2
UA10406,9943,1,3
UA10661,11239,1,2
UA10661,11299,1,3
UA21257,13323,1,2
UA21257,13383,1,3
UA21249,14126,1,2
UA21249,14186,1,3
UA21215,16100,10,2
UA21215,16160,1,3
UA20235,25800,1,0
UA20345,25800,1,0
UA20809,25800,1,0
UA20953,25800,1,0
UA20340,25800,1,1
UA20733,25800,1,1
UA20875,25800,1,1
UA20222,25860,1,0
UA21018,25860,1,0
UA21286,25860,1,0
UA20235,25860,1,1
UA20345,25860,1,1
UA20809,25860,1,1
UA20953,25860,1,1
UA20569,25920,1,0
UA20993,25920,1,0
UA21039,25920,1,0
UA20222,25920,1,1
UA21018,25920,1,1
UA21286,25920,1,1
UA20027,25980,1,0
UA20249,25980,1,0
UA20919,25980,1,0
UA20971,25980,1,0
UA20569,25980,1,1
UA20993,25980,1,1
UA21039,25980,1,1
UA20893,26040,1,0
UA21079,26040,1,0
UA20027,26040,1,1
UA20249,26040,1,1
UA20919,26040,1,1
UA20971,26040,1,1
UA10724,1700,1,2
UA10724,1760,1,3
UA10429,2014,1,2
UA10429,2074,1,3
UA11169,2412,1,2
UA11169,2472,1,3
UA20222,3627,1,2
UA20222,3687,1,3
UA10813,3740,1,2
UA10813,3800,1,3
UA10763,3911,1,2
UA10763,3971,1,3
UA20953,4179,1,2
UA10712,4230,1,2
UA20953,4239,1,3
UA10712,4290,1,3
UA20919,4613,1,2
UA20919,4673,1,3
UA21018,5379,1,2
UA21018,5439,1,3
UA10204,6707,1,2
UA10204,6767,1,3
UA20971,6981,1,2
UA20971,7041,1,3
UA20993,7398,1,2
UA20993,7458,1,3
UA11244,8705,1,2
UA11244,8765,1,3
UA11268,9508,1,2
UA11268,9568,1,3
UA10522,10567,1,2
UA10522,10627,1,3
UA20875,11568,1,2
UA20875,11628,1,3
UA20134,26100,1,0
UA20180,26100,1,0
UA20238,26100,1,0
UA21031,26100,1,0
UA21208,26100,1,0
UA20893,26100,1,1
UA21079,26100,1,1
UA20223,26160,1,0
UA20500,26160,1,0
UA20800,26160,1,0
UA20134,26160,1,1
UA20180,26160,1,1
UA20238,26160,1,1
UA21031,26160,1,1
UA21208,26160,1,1
UA20413,26220,1,0
UA20223,26220,1,1
UA20500,26220,1,1
UA20800,26220,1,1
UA20058,26280,1,0
UA20608,26280,1,0
UA20720,26280,1,0
UA21029,26280,1,0
UA20413,26280,1,1
UA20933,26340,1,0
UA20950,26340,1,0
UA20058,26340,1,1
UA20608,26340,1,1
UA20720,26340,1,1
UA21029,26340,1,1
UA11077,1318,1,2
UA11077,1378,1,3
UA11114,1779,1,2
UA11114,1839,1,3
UA21029,4336,1,2
UA21029,4396,1,3
UA10261,5586,1,2
UA10261,5646,1,3
UA11253,9228,1,2
UA11253,9288,1,3
UA11000,9512,1,2
UA11000,9572,1,3
UA20500,9868,1,2
UA20500,9928,1,3
UA10009,11011,1,2
UA10009,11071,1,3
UA20893,11568,1,2
UA20893,11628,1,3
UA20223,15123,10,2
UA20223,15183,1,3
UA11118,16771,10,2
UA11118,16831,1,3
UA20058,17201,10,2
UA20058,17261,1,3
UA20147,26400,1,0
UA20627,26400,1,0
UA20710,26400,1,0
UA20933,26400,1,1
UA20950,26400,1,1
UA20071,26460,1,0
UA20433,26460,1,0
UA20147,26460,1,1
UA20627,26460,1,1
UA20710,26460,1,1
UA20244,26520,1,0
UA20423,26520,1,0
UA20525,26520,1,0
UA20683,26520,1,0
UA21092,26520,1,0
UA20071,26520,1,1
UA20433,26520,1,1
UA20724,26580,1,0
UA20989,26580,1,0
UA21001,26580,1,0
UA21101,26580,1,0
UA21273,26580,1,0
UA20244,26580,1,1
UA20423,26580,1,1
UA20525,26580,1,1
UA20683,26580,1,1
UA21092,26580,1,1
UA20279,26640,1,0
UA20558,26640,1,0
UA20719,26640,1,0
UA20772,26640,1,0
UA20802,26640,1,0
UA20832,26640,1,0
UA20882,26640,1,0
UA20943,26640,1,0
UA20724,26640,1,1
UA20989,26640,1,1
UA21001,26640,1,1
UA21101,26640,1,1
UA21273,26640,1,1
UA20772,26641,1,0
UA10899,1038,1,2
UA10861,1038,1,2
UA10899,1098,1,3
UA10861,1098,1,3
UA10574,1945,1,2
UA10574,2005,1,3
UA10462,2292,1,2
UA10462,2352,1,3
UA11108,2412,1,2
UA11108,2472,1,3
